cell_line,treatment,replicate,Assay,time,Ct,Norm2ref
A,Control,1,ELN,72.0,27.99304,0.0160389261082
A,Control,1,ELN,96.0,28.38583,0.011108021424
A,Control,1,ENG,0.5,24.93255,0.102638207842
A,Control,1,ENG,1.0,24.60937,0.103762852318
A,Control,1,ENG,2.0,24.99445,0.0929375729308
A,Control,1,ENG,3.0,25.19307,0.098973039622
A,Control,1,ENG,4.0,24.90883,0.106528871529
A,Control,1,ENG,8.0,25.21283,0.106299330871
A,Control,1,ENG,12.0,25.02086,0.101564994803
A,Control,1,ENG,24.0,24.71586,0.113058325274
A,Control,1,ENG,48.0,24.77716,0.10207662997
A,Control,1,ENG,72.0,25.08734,0.120192714873
A,Control,1,ENG,96.0,24.84793,0.129018126274
A,Control,1,ETS1,0.5,26.76292,0.0288610938524
A,Control,1,ETS1,1.0,26.30013,0.0321419651605
A,Control,1,ETS1,2.0,26.73117,0.0278860185931
A,Control,1,ETS1,3.0,26.73762,0.0339282163287
A,Control,1,ETS1,4.0,26.66513,0.0315332217677
A,Control,1,ETS1,8.0,26.79303,0.035550272301
A,Control,1,ETS1,12.0,26.7297,0.0310693346431
A,Control,1,ETS1,24.0,26.72582,0.0280701218522
A,Control,1,ETS1,48.0,26.64061,0.0280525262926
A,Control,1,ETS1,72.0,26.64492,0.0408319239982
A,Control,1,ETS1,96.0,27.16056,0.0259704653447
A,Control,1,FBLN1,0.5,20.74832,1.86589756956
A,Control,1,FBLN1,1.0,20.56801,1.7084901715
A,Control,1,FBLN1,2.0,20.82859,1.66816937672
A,Control,1,FBLN1,3.0,20.94666,1.87851078259
A,Control,1,FBLN1,4.0,20.57559,2.14734855808
A,Control,1,FBLN1,8.0,20.7758,2.30255308943
A,Control,1,FBLN1,12.0,20.63069,2.12969252562
A,Control,1,FBLN1,24.0,19.99822,2.97477208009
A,Control,1,FBLN1,48.0,19.65496,3.55518469225
A,Control,1,FBLN1,72.0,19.40935,6.15351764226
A,Control,1,FBLN1,96.0,19.30321,6.0225133022
A,Control,1,FBN1,0.5,23.08436,0.369547005895
A,Control,1,FBN1,1.0,22.878,0.34453726753
A,Control,1,FBN1,2.0,23.08776,0.348467443414
A,Control,1,FBN1,3.0,23.18446,0.398261906081
A,Control,1,FBN1,4.0,23.17055,0.355419905758
A,Control,1,FBN1,8.0,23.45756,0.358855371432
A,Control,1,FBN1,12.0,23.30042,0.334694130598
A,Control,1,FBN1,24.0,23.16992,0.330123818191
A,Control,1,FBN1,48.0,23.19464,0.305711877507
A,Control,1,FBN1,72.0,23.30338,0.413907805137
A,Control,1,FBN1,96.0,23.26917,0.385393908818
A,Control,1,FGF2,0.5,26.89221,0.0263871580862
A,Control,1,FGF2,1.0,26.59074,0.0262778663199
A,Control,1,FGF2,2.0,27.28988,0.0189320674782
A,Control,1,FGF2,3.0,26.76163,0.0333682398355
A,Control,1,FGF2,4.0,26.85293,0.0276843870215
A,Control,1,FGF2,8.0,27.26714,0.025593023789
A,Control,1,FGF2,12.0,26.7719,0.0301736943682
A,Control,1,FGF2,24.0,26.17171,0.0412143095651
A,Control,1,FGF2,48.0,25.88562,0.0473420014632
A,Control,1,FGF2,72.0,25.98955,0.064311090319
A,Control,1,FGF2,96.0,25.71918,0.0705307247671
A,Control,1,FN1,0.5,18.32124,10.0348683879
A,Control,1,FN1,1.0,18.16286,9.0497124269
A,Control,1,FN1,2.0,18.50323,8.36071183636
A,Control,1,FN1,3.0,18.67529,9.06910005936
A,Control,1,FN1,4.0,18.30997,10.325762309
A,Control,1,FN1,12.0,18.49741,9.34325443826
A,Control,1,FN1,24.0,18.37624,9.15626448553
A,Control,1,FN1,48.0,18.63346,7.2171263388
A,Control,1,FN1,72.0,19.17475,7.24010870808
A,Control,1,FN1,96.0,19.31406,5.97738999705
A,Control,1,FOSB,0.5,32.07748,0.000725221738075
A,Control,1,FOSB,1.0,28.81358,0.00562922468456
A,Control,1,FOSB,2.0,30.96331,0.00148383437117
A,Control,1,FOSB,3.0,33.80334,0.000253260446142
A,Control,1,GADD45B,0.5,27.22673,0.0209262815795
A,Control,1,GADD45B,1.0,27.46122,0.0143730689296
A,Control,1,GADD45B,2.0,27.25376,0.0194120431121
A,Control,1,GADD45B,3.0,27.58654,0.0188369525862
A,Control,1,GADD45B,4.0,27.53904,0.0172066062916
A,Control,1,GADD45B,8.0,27.12584,0.0282265070487
A,Control,1,GADD45B,12.0,27.19218,0.0225481855736
A,Control,1,GADD45B,24.0,26.99744,0.0232529753106
A,Control,1,GADD45B,48.0,27.09291,0.0205029385967
A,Control,1,GADD45B,72.0,27.74861,0.0190001070751
A,Control,1,GADD45B,96.0,27.51773,0.0202749993022
A,Control,1,GUSB,0.5,26.76168,0.0288859106983
A,Control,1,GUSB,1.0,26.27371,0.032736001995
A,Control,1,GUSB,2.0,26.79359,0.0267052237014
A,Control,1,GUSB,3.0,26.87455,0.030856097009
A,Control,1,GUSB,4.0,26.55961,0.033926029101
A,Control,1,GUSB,8.0,26.98346,0.0311542850723
A,Control,1,GUSB,12.0,26.27601,0.0425506551787
A,Control,1,GUSB,24.0,26.2135,0.0400375952888
A,Control,1,GUSB,48.0,26.2624,0.0364606605784
A,Control,1,GUSB,72.0,25.99594,0.0640268728576
A,Control,1,GUSB,96.0,26.2237,0.0497167456839
A,Control,1,HAS2,0.5,28.6102,0.0080209553116
A,Control,1,HAS2,1.0,29.2377,0.00419542287347
A,Control,1,HAS2,2.0,28.80171,0.00663883485397
A,Control,1,HAS2,3.0,29.52953,0.00489905565653
A,Control,1,HAS2,4.0,29.69856,0.00385136718186
A,Control,1,HAS2,8.0,28.77545,0.00899653031273
A,Control,1,HAS2,12.0,28.06358,0.0123252024678
A,Control,1,HAS2,24.0,27.68284,0.0144594765561
A,Control,1,HAS2,48.0,27.24006,0.0185148222581
A,Control,1,HAS2,72.0,28.48543,0.0114012147769
A,Control,1,HAS2,96.0,27.19045,0.0254379403685
A,Control,1,ID1,0.5,27.52739,0.016989648206
A,Control,1,ID1,1.0,27.54275,0.0135833387894
A,Control,1,ID1,2.0,27.61872,0.0150732651906
A,Control,1,ID1,3.0,27.3416,0.022322607946
A,Control,1,ID1,4.0,27.25912,0.0208910148611
A,Control,1,ID1,8.0,27.20328,0.0267513298214
A,Control,1,ID1,12.0,27.07555,0.0244467273442
A,Control,1,ID1,24.0,27.11247,0.0214709395933
A,Control,1,ID1,48.0,26.55878,0.0296896626294
A,Control,1,ID1,72.0,26.85238,0.0353629234927
A,Control,1,ID1,96.0,27.08191,0.0274255749342
A,Control,1,IL6,0.5,28.72064,0.00742985509854
A,Control,1,IL6,1.0,29.33554,0.00392033307717
A,Control,1,IL6,2.0,28.20405,0.0100462840335
A,Control,1,IL6,3.0,28.08105,0.013370520108
A,Control,1,IL6,4.0,29.06309,0.00598288226683
A,Control,1,IL6,8.0,28.62063,0.0100156816398
A,Control,1,IL6,12.0,29.57256,0.00433057754216
A,Control,1,IL6,24.0,30.03864,0.00282478961335
A,Control,1,IL6,48.0,28.5616,0.00740792141705
A,Control,1,IL6,72.0,29.48676,0.00569535450138
A,Control,1,IL6,96.0,28.18811,0.0127396166405
A,Control,1,ITGA1,0.5,27.98567,0.0123659748783
A,Control,1,ITGA1,1.0,27.87123,0.0108174326473
A,Control,1,ITGA1,2.0,27.53082,0.0160201978955
